"atom_idx","atom_symbol","matched_fg","frag_smiles","frag_id","idx1","idx2"
13,"C","Secondary_carbon, Aromatic","c1c[nH]cn1",1,59,60
14,"C","Aromatic","c1c[nH]cn1",1,59,60
15,"N","Hetero_N_basic_H, Heteroaromatic, Aromatic, Heterocyclic","c1c[nH]cn1",1,59,60
16,"C","Aromatic","c1c[nH]cn1",1,59,60
17,"N","Hetero_N_nonbasic, Heteroaromatic, Aromatic, Heterocyclic","c1c[nH]cn1",1,59,60
0,"C","Dialkylthioether","CS",1,61,63
1,"S","Dialkylthioether","CS",1,61,63
9,"O","Secondary_amide","O",1,62,600
13,"O","Primary_alcohol","O",2,62,600
14,"C","Carboxylic_acid","O=CO",3,62,600
15,"O","Carboxylic_acid","O=CO",3,62,600
16,"O","Carboxylic_acid","O=CO",3,62,600
0,"C","Primary_carbon, CH-acidic","CC(=O)O",1,68,69
1,"C","Primary_carbon, Carboxylic_ester","CC(=O)O",1,68,69
2,"O","Carboxylic_ester","CC(=O)O",1,68,69
3,"O","Carboxylic_ester","CC(=O)O",1,68,69
13,"O",NA,"CC(=O)O",2,68,69
14,"C","Primary_carbon","CC(=O)O",2,68,69
15,"O",NA,"CC(=O)O",2,68,69
16,"C","Primary_carbon, CH-acidic","CC(=O)O",2,68,69
8,"O","Carboxylic_acid","O",1,69,71
13,"Cl","Arylchloride","Cl",2,69,71
14,"Cl","Arylchloride","Cl",3,69,71
10,"O","Carboxylic_acid","O",1,70,653
11,"O","Carboxylic_acid","O",2,70,653
13,"Cl","Arylchloride","Cl",1,72,73
10,"Cl","Arylchloride","Cl",1,73,74
11,"Cl","Arylchloride","Cl",2,73,74
10,"Cl","Arylchloride","Cl",1,74,75
0,"C","Primary_carbon","C",1,75,76
14,"Cl","Arylchloride","Cl",2,75,76
13,"Cl","Arylchloride","Cl",1,76,77
13,"Cl","Arylchloride","Cl",1,77,78
6,"O","Carboxylic_acid","O",1,78,377
7,"O","Carboxylic_acid","O",2,78,377
13,"Cl","Arylchloride","Cl",3,78,377
23,"O","Secondary_alcohol","O",1,79,81
10,"C","Alkene","C=CCO",1,80,81
11,"C","Alkene","C=CCO",1,80,81
12,"C","Quaternary_carbon, Secondary_alcohol","C=CCO",1,80,81
23,"O","Secondary_alcohol","C=CCO",1,80,81
0,"C","Alkene","C",1,81,553
4,"C","Secondary_carbon, Tertiary_carbon, Quaternary_carbon","C",2,81,553
14,"C","Primary_carbon, Quaternary_carbon","C",3,81,553
17,"C","Tertiary_carbon, Carboxylic_acid","O=CO",4,81,553
18,"O","Carboxylic_acid","O=CO",4,81,553
19,"O","Carboxylic_acid","O=CO",4,81,553
20,"C","Quaternary_carbon, Lactone","O=CO",5,81,553
21,"O","Lactone","O=CO",5,81,553
22,"O","Lactone, Heterocyclic","O=CO",5,81,553
8,"O","Phenol, 1,2-Diphenol","O",1,86,90
6,"C","Carboxylic_acid, Conjugated_double_bond","O=CO",1,88,481
7,"O","Carboxylic_acid, Conjugated_double_bond","O=CO",1,88,481
8,"O","Carboxylic_acid","O=CO",1,88,481
5,"O","Urea, Oxoarene, Conjugated_double_bond","O",1,89,230
8,"O","Lactam, Oxoarene, Conjugated_double_bond","O",2,89,230
0,"C","Alkylarylether","CO",1,90,99
1,"O","Alkylarylether","CO",1,90,99
8,"O","Phenol","O",2,90,99
11,"O","Carboxylic_acid","O",3,90,99
1,"C","Alkene, Conjugated_double_bond","CC(=O)O",1,91,95
2,"C","Carboxylic_acid, Conjugated_double_bond","CC(=O)O",1,91,95
3,"O","Carboxylic_acid, Conjugated_double_bond","CC(=O)O",1,91,95
4,"O","Carboxylic_acid","CC(=O)O",1,91,95
0,"C","Primary_carbon","CCC",1,93,94
1,"C","Primary_carbon, Alkene","CCC",1,93,94
6,"C","Alkene","CCO",2,93,94
7,"C","Primary_alcohol","CCO",2,93,94
8,"O","Primary_alcohol","CCO",2,93,94
10,"C","Primary_carbon","CCC",1,93,94
1,"C","Secondary_carbon, Carboxylic_acid","O=CO",1,94,95
2,"O","Carboxylic_acid","O=CO",1,94,95
3,"O","Carboxylic_acid","O=CO",1,94,95
10,"O","Carboxylic_acid, Alpha_hydroxyacid","O",2,94,95
11,"O","Carboxylic_acid, Alpha_hydroxyacid","O",3,94,95
12,"O","Tertiary_alcohol, Alpha_hydroxyacid","O",4,94,95
2,"C","Primary_carbon, Tertiary_carbon","C",1,95,1016
7,"N","Primary_aliph_amine, Alpha_aminoacid","N",2,95,1016
0,"C","Primary_carbon","C",1,97,98
0,"C","Primary_carbon, Secondary_carbon","C",1,98,116
0,"C",NA,"C",1,100,380
9,"O","Imidoacid","O",2,100,380
0,"C","Primary_carbon","CCNCC",1,116,361
1,"C","Primary_carbon, Tertiary_amide","CCNCC",1,116,361
2,"N","Tertiary_amide","CCNCC",1,116,361
3,"C","Primary_carbon, Tertiary_amide","CCNCC",1,116,361
4,"C","Primary_carbon","CCNCC",1,116,361
7,"C","Primary_carbon, CH-acidic","C",2,116,361
0,"C","Alkene","C",1,117,121
10,"O","Phenol","O",1,118,943
11,"O","Phenol","O",2,118,943
0,"C","Primary_carbon","C",1,119,955
12,"N","Primary_arom_amine","N",2,119,955
0,"C","Aromatic","c1ccccc1",1,120,349
1,"C","Aromatic","c1ccccc1",1,120,349
2,"C","Aromatic","c1ccccc1",1,120,349
3,"C","Aromatic","c1ccccc1",1,120,349
4,"C","Aromatic","c1ccccc1",1,120,349
5,"C","Aromatic","c1ccccc1",1,120,349
0,"C","Primary_carbon","CCO",1,121,202
1,"C","Primary_carbon, Acetal","CCO",1,121,202
2,"O","Acetal, Acetal_like","CCO",1,121,202
12,"O","Acetal, Acetal_like","CCO",2,121,202
13,"C","Primary_carbon, Acetal","CCO",2,121,202
14,"C","Primary_carbon","CCO",2,121,202
13,"C","Ketone, Aromatic, Conjugated_double_bond","c1ccccc1",1,123,913
14,"C","Aromatic, Conjugated_double_bond","c1ccccc1",1,123,913
15,"C","Aromatic","c1ccccc1",1,123,913
16,"C","Aromatic","c1ccccc1",1,123,913
17,"C","Aromatic","c1ccccc1",1,123,913
18,"C","Aromatic, Conjugated_double_bond","c1ccccc1",1,123,913
0,"C","Primary_carbon, Secondary_carbon","CC",1,124,363
1,"C","Primary_carbon, Secondary_carbon","CC",1,124,363
7,"C","Secondary_carbon","CCCC",2,124,363
8,"C","Secondary_carbon","CCCC",2,124,363
9,"C","Primary_carbon, Secondary_carbon","CCCC",2,124,363
10,"C","Primary_carbon, Secondary_carbon","CCCC",2,124,363
12,"C","Secondary_carbon","CCCC",3,124,363
13,"C","Secondary_carbon","CCCC",3,124,363
14,"C","Primary_carbon, Secondary_carbon","CCCC",3,124,363
15,"C","Primary_carbon, Secondary_carbon","CCCC",3,124,363
17,"C","Secondary_carbon","CCCC",4,124,363
18,"C","Secondary_carbon","CCCC",4,124,363
19,"C","Primary_carbon, Secondary_carbon","CCCC",4,124,363
20,"C","Primary_carbon, Secondary_carbon","CCCC",4,124,363
0,"C","Primary_carbon, Secondary_carbon","CCCCC",1,125,496
1,"C","Primary_carbon, Secondary_carbon","CCCCC",1,125,496
2,"C","Secondary_carbon","CCCCC",1,125,496
3,"C","Secondary_carbon","CCCCC",1,125,496
4,"C","Secondary_carbon, Carboxylic_ester","CCCCC",1,125,496
17,"C","Secondary_carbon, Carboxylic_ester","CCCCC",2,125,496
18,"C","Secondary_carbon","CCCCC",2,125,496
19,"C","Secondary_carbon","CCCCC",2,125,496
20,"C","Primary_carbon, Secondary_carbon","CCCCC",2,125,496
21,"C","Primary_carbon, Secondary_carbon","CCCCC",2,125,496
23,"O","Ketone","O",1,126,409
0,"C","Primary_carbon","CC=O",1,128,147
1,"C","Primary_carbon","CC=O",1,128,147
2,"O",NA,"CC=O",1,128,147
0,"C","Primary_carbon","C",1,130,131
7,"C","Primary_carbon","C",2,130,131
11,"S",NA,"CCS",1,133,137
12,"C","Primary_carbon","CCS",1,133,137
13,"C","Primary_carbon","CCS",1,133,137
6,"C","Primary_carbon","C",1,134,202
9,"C","Isothiourea, Iminoarene, Aromatic, Conjugated_double_bond","Cn1ccsc1",2,134,202
10,"N","Isothiourea, Hetero_N_basic_no_H, Heteroaromatic, Aromatic, Heterocyclic, Conjugated_double_bond","Cn1ccsc1",2,134,202
11,"C",NA,"Cn1ccsc1",2,134,202
12,"C","Aromatic, Conjugated_double_bond","Cn1ccsc1",2,134,202
13,"C","Aromatic, Conjugated_double_bond","Cn1ccsc1",2,134,202
14,"S","Isothiourea, Hetero_S, Heteroaromatic, Aromatic, Heterocyclic, Conjugated_double_bond","Cn1ccsc1",2,134,202
2,"C","Secondary_carbon, Tertiary_carbon","C1CC1",1,135,148
3,"C","Secondary_carbon, Tertiary_carbon","C1CC1",1,135,148
4,"C","Secondary_carbon, Tertiary_carbon","C1CC1",1,135,148
19,"O","Tertiary_alcohol","O",2,135,148
0,"C","Primary_carbon","C",1,138,238
22,"N","Secondary_amide","CN",2,138,238
23,"C","Secondary_amide","CN",2,138,238
0,"C","Primary_carbon","C",1,139,265
4,"S",NA,"S",2,139,265
7,"C","Primary_carbon","C",3,139,265
11,"S","Dialkylthioether","CCS",4,139,265
12,"C","Primary_carbon, Dialkylthioether","CCS",4,139,265
13,"C","Primary_carbon","CCS",4,139,265
5,"N","Phosphoric_diestermonoamide","CC(C)N",1,140,209
6,"C","Primary_carbon","CC(C)N",1,140,209
7,"C","Primary_carbon","CC(C)N",1,140,209
8,"C","Primary_carbon","CC(C)N",1,140,209
15,"C","Primary_carbon","C",2,140,209
17,"S","Alkylarylthioether","CS",3,140,209
18,"C","Alkylarylthioether","CS",3,140,209
0,"C","Primary_carbon, Secondary_carbon","CC",1,143,147
1,"C","Primary_carbon, Secondary_carbon","CC",1,143,147
3,"C","Primary_carbon","C",2,143,147
7,"N","Heterocyclic","O=C1NCCS1",3,143,147
8,"C",NA,"O=C1NCCS1",3,143,147
9,"C",NA,"O=C1NCCS1",3,143,147
10,"S","Heterocyclic","O=C1NCCS1",3,143,147
11,"C",NA,"O=C1NCCS1",3,143,147
12,"O",NA,"O=C1NCCS1",3,143,147
15,"C","Primary_carbon","C",4,143,147
0,"C","Primary_carbon","CCC",1,144,236
1,"C","Primary_carbon","CCC",1,144,236
2,"C","Primary_carbon","CCC",1,144,236
0,"C","Primary_carbon","CCC",1,145,1016
1,"C","Primary_carbon, Carboxylic_ester","CCC",1,145,1016
2,"C","Primary_carbon","CCC",1,145,1016
5,"O","Carboxylic_ester, Conjugated_double_bond","O",2,145,1016
7,"C","Ketenacetal, Conjugated_double_bond","C1CSCS1",3,145,1016
8,"S","Ketenacetal, Heterocyclic","C1CSCS1",3,145,1016
9,"C",NA,"C1CSCS1",3,145,1016
10,"C",NA,"C1CSCS1",3,145,1016
11,"S","Ketenacetal, Heterocyclic","C1CSCS1",3,145,1016
15,"C","Primary_carbon, Carboxylic_ester","CCC",4,145,1016
16,"C","Primary_carbon","CCC",4,145,1016
17,"C","Primary_carbon","CCC",4,145,1016
10,"C","Secondary_carbon","CCC",1,146,170
11,"C","Secondary_carbon","CCC",1,146,170
12,"C","Secondary_carbon","CCC",1,146,170
16,"O","Urea, Oxoarene, Conjugated_double_bond","O",2,146,170
4,"N",NA,"N",1,147,167
5,"C","Quaternary_carbon, Nitrile","C#N",1,148,172
6,"N","Nitrile","C#N",1,148,172
0,"C","Primary_carbon, Secondary_carbon","CCC",1,150,230
1,"C","Primary_carbon, Secondary_carbon","CCC",1,150,230
2,"C","Secondary_carbon","CCC",1,150,230
5,"O","Lactam, Oxoarene, Conjugated_double_bond","O",2,150,230
7,"C","Aromatic, Conjugated_double_bond","ccc(c)I",3,150,230
8,"C","Aryliodide, Aromatic","ccc(c)I",3,150,230
9,"C","Aromatic","ccc(c)I",3,150,230
10,"C","Aromatic","ccc(c)I",3,150,230
14,"O","Alkylarylether, Isourea","CCCO",4,150,230
15,"C","Secondary_carbon, Alkylarylether","CCCO",4,150,230
16,"C","Primary_carbon, Secondary_carbon","CCCO",4,150,230
17,"C","Primary_carbon, Secondary_carbon","CCCO",4,150,230
18,"I","Aryliodide","ccc(c)I",3,150,230
3,"O",NA,"O",1,154,203
11,"C","Aromatic","cc(Cl)cn",2,154,203
12,"C","Arylchloride, Aromatic","cc(Cl)cn",2,154,203
13,"C","Aromatic","cc(Cl)cn",2,154,203
14,"N","Hetero_N_nonbasic, Heteroaromatic, Aromatic, Heterocyclic","cc(Cl)cn",2,154,203
15,"Cl","Arylchloride","cc(Cl)cn",2,154,203
0,"C","Primary_carbon","C",1,155,552
6,"C","Primary_carbon","C",2,155,552
10,"C","Primary_carbon","C",3,155,552
11,"C","Carboxylic_ester","COC=O",4,155,552
12,"O","Carboxylic_ester","COC=O",4,155,552
13,"O","Carboxylic_ester","COC=O",4,155,552
14,"C","Carboxylic_ester","COC=O",4,155,552
6,"Cl","Arylchloride","Cl",1,157,456
7,"Cl","Arylchloride","Cl",2,157,456
13,"Br","Alkylbromide","Br",3,157,456
15,"N","Hetero_N_basic_no_H, Heteroaromatic, Aromatic, Heterocyclic","c1ncnn1",4,157,456
16,"C","Aromatic","c1ncnn1",4,157,456
17,"N","Hetero_N_nonbasic, Heteroaromatic, Aromatic, Heterocyclic","c1ncnn1",4,157,456
18,"C","Aromatic","c1ncnn1",4,157,456
19,"N","Hetero_N_nonbasic, Heteroaromatic, Aromatic, Heterocyclic","c1ncnn1",4,157,456
0,"C","Primary_carbon, Secondary_carbon","CCC",1,158,206
1,"C","Primary_carbon, Secondary_carbon","CCC",1,158,206
2,"C","Secondary_carbon","CCC",1,158,206
11,"C","Primary_carbon","C",2,158,206
15,"S","Sulfuric_esteramide","CN(C)[SH](=O)=O",3,158,206
16,"O","Sulfuric_esteramide","CN(C)[SH](=O)=O",3,158,206
17,"O","Sulfuric_esteramide","CN(C)[SH](=O)=O",3,158,206
18,"N","Sulfuric_esteramide","CN(C)[SH](=O)=O",3,158,206
19,"C","Sulfuric_esteramide","CN(C)[SH](=O)=O",3,158,206
20,"C","Sulfuric_esteramide","CN(C)[SH](=O)=O",3,158,206
0,"C","Primary_carbon","C",1,162,207
7,"C","Primary_carbon","C",2,162,207
15,"C","Primary_carbon, Tertiary_carbon","CCC",3,162,207
16,"C","Primary_carbon, Tertiary_carbon","CCC",3,162,207
17,"C","Primary_carbon, Tertiary_carbon","CCC",3,162,207
9,"Cl","Chloroalkene","Cl",1,163,197
10,"Cl","Chloroalkene","Cl",2,163,197
13,"Cl","Arylchloride","Cl",1,164,181
0,"C","Primary_carbon, Secondary_carbon","C",1,167,265
8,"C","Primary_carbon","C",2,167,265
9,"S",NA,"CCCS",3,167,265
10,"C","Secondary_carbon","CCCS",3,167,265
11,"C","Primary_carbon, Secondary_carbon","CCCS",3,167,265
12,"C","Primary_carbon, Secondary_carbon","CCCS",3,167,265
13,"Cl","Arylchloride","Cl",1,168,243
14,"C","Aromatic","c1cncnc1",2,168,243
15,"C","Aromatic","c1cncnc1",2,168,243
16,"N","Hetero_N_nonbasic, Heteroaromatic, Aromatic, Heterocyclic","c1cncnc1",2,168,243
17,"C","Aromatic","c1cncnc1",2,168,243
18,"N","Hetero_N_nonbasic, Heteroaromatic, Aromatic, Heterocyclic","c1cncnc1",2,168,243
19,"C","Aromatic","c1cncnc1",2,168,243
20,"O","Tertiary_alcohol","O",3,168,243
21,"Cl","Arylchloride","Cl",4,168,243
0,"C","Aromatic","c1ccccc1",1,169,177
1,"C","Aromatic","c1ccccc1",1,169,177
2,"C","Aromatic","c1ccccc1",1,169,177
3,"C","Quaternary_carbon, Aromatic","c1ccccc1",1,169,177
4,"C","Aromatic","c1ccccc1",1,169,177
5,"C","Aromatic","c1ccccc1",1,169,177
17,"N","Nitrile","N",2,169,177
6,"Cl","Arylchloride","Cl",1,170,659
7,"Cl","Arylchloride","Cl",2,170,659
19,"N","Hetero_N_basic_no_H, Heteroaromatic, Aromatic, Heterocyclic","c1ncnn1",3,170,659
20,"C","Aromatic","c1ncnn1",3,170,659
21,"N","Hetero_N_nonbasic, Heteroaromatic, Aromatic, Heterocyclic","c1ncnn1",3,170,659
22,"C","Aromatic","c1ncnn1",3,170,659
23,"N","Hetero_N_nonbasic, Heteroaromatic, Aromatic, Heterocyclic","c1ncnn1",3,170,659
24,"F","Arylfluoride","F",4,170,659
0,"C","Primary_carbon, Secondary_carbon","C",1,172,201
19,"O","Tertiary_alcohol","O",2,172,201
0,"C","Alkene","C=CCO",1,173,311
1,"C","Alkene","C=CCO",1,173,311
2,"C","Dialkylether","C=CCO",1,173,311
3,"O","Dialkylether","C=CCO",1,173,311
6,"N","Hetero_N_basic_no_H, Heteroaromatic, Aromatic, Heterocyclic","c1cncn1",2,173,311
7,"C","Aromatic","c1cncn1",2,173,311
8,"C","Aromatic","c1cncn1",2,173,311
9,"N","Hetero_N_nonbasic, Heteroaromatic, Aromatic, Heterocyclic","c1cncn1",2,173,311
10,"C","Aromatic","c1cncn1",2,173,311
17,"Cl","Arylchloride","Cl",3,173,311
18,"Cl","Arylchloride","Cl",4,173,311
0,"C","Primary_carbon, Tertiary_carbon","C",1,174,175
2,"C","Primary_carbon, Tertiary_carbon","C",2,174,175
0,"C","Primary_carbon, Secondary_carbon","CCC",1,176,302
1,"C","Primary_carbon, Secondary_carbon","CCC",1,176,302
2,"C","Secondary_carbon","CCC",1,176,302
7,"C",NA,"Cn1cncn1",2,176,302
8,"N","Hetero_N_basic_no_H, Heteroaromatic, Aromatic, Heterocyclic","Cn1cncn1",2,176,302
9,"C","Aromatic","Cn1cncn1",2,176,302
10,"N","Hetero_N_nonbasic, Heteroaromatic, Aromatic, Heterocyclic","Cn1cncn1",2,176,302
11,"C","Aromatic","Cn1cncn1",2,176,302
12,"N","Hetero_N_nonbasic, Heteroaromatic, Aromatic, Heterocyclic","Cn1cncn1",2,176,302
19,"Cl","Arylchloride","Cl",3,176,302
20,"Cl","Arylchloride","Cl",4,176,302
14,"C",NA,"Cn1cncn1",1,177,200
15,"N","Hetero_N_basic_no_H, Heteroaromatic, Aromatic, Heterocyclic","Cn1cncn1",1,177,200
16,"C","Aromatic","Cn1cncn1",1,177,200
17,"N","Hetero_N_nonbasic, Heteroaromatic, Aromatic, Heterocyclic","Cn1cncn1",1,177,200
18,"C","Aromatic","Cn1cncn1",1,177,200
19,"N","Hetero_N_nonbasic, Heteroaromatic, Aromatic, Heterocyclic","Cn1cncn1",1,177,200
4,"C","Tertiary_carbon","Cn1cncn1",1,178,589
5,"N","Hetero_N_basic_no_H, Heteroaromatic, Aromatic, Heterocyclic","Cn1cncn1",1,178,589
6,"C","Aromatic","Cn1cncn1",1,178,589
7,"N","Hetero_N_nonbasic, Heteroaromatic, Aromatic, Heterocyclic","Cn1cncn1",1,178,589
8,"C","Aromatic","Cn1cncn1",1,178,589
9,"N","Hetero_N_nonbasic, Heteroaromatic, Aromatic, Heterocyclic","Cn1cncn1",1,178,589
12,"C","Alkylfluoride, Dialkylether, Halogen_acetal_like, Acetal_like","FC(F)C(F)F",2,178,589
13,"C","Alkylfluoride","FC(F)C(F)F",2,178,589
14,"F","Alkylfluoride","FC(F)C(F)F",2,178,589
15,"F","Alkylfluoride","FC(F)C(F)F",2,178,589
16,"F","Alkylfluoride, Halogen_acetal_like, Acetal_like","FC(F)C(F)F",2,178,589
17,"F","Alkylfluoride, Halogen_acetal_like, Acetal_like","FC(F)C(F)F",2,178,589
21,"Cl","Arylchloride","Cl",3,178,589
22,"Cl","Arylchloride","Cl",4,178,589
0,"C","Primary_carbon","C",1,179,737
8,"C","Aromatic","cnn",2,179,737
9,"N","Hetero_N_nonbasic, Heteroaromatic, Aromatic, Heterocyclic","cnn",2,179,737
10,"N","Hetero_N_nonbasic, Heteroaromatic, Aromatic, Heterocyclic","cnn",2,179,737
0,"C","Primary_carbon, Quaternary_carbon","CC(C)C",1,181,782
1,"C","Primary_carbon, Quaternary_carbon","CC(C)C",1,181,782
2,"C","Primary_carbon, Quaternary_carbon","CC(C)C",1,181,782
3,"C","Primary_carbon, Quaternary_carbon","CC(C)C",1,181,782
13,"Cl","Arylchloride","Cl",2,181,782
14,"N","Hetero_N_basic_no_H, Heteroaromatic, Aromatic, Heterocyclic, Conjugated_double_bond","c1ncnn1",3,181,782
15,"C","Aromatic, Conjugated_double_bond","c1ncnn1",3,181,782
